file_name,title,description,keywords,url,dataset_name
temperature-profile-data-from-xbt-casts-in-the-sou_7d8f93ab-32d7-4b6d-833e-8b5343cceb46.json,Home - Earthdata Forum,,[],,Maritime Data
ais-vessel-tracks-2024_a6ab3780-ffe4-451c-a0fd-539398faf37c.json,Marine Cadastre Hub,Esri Hub site for Marine Cadastre. Marine Cadastre is the premier source for authoritative and trusted ocean geospatial data.,[],,AIS Vessel Tracking
us-voluntary-observing-ship-vos-international-mari_63f6808b-af5f-496b-bf8d-4b30b5dce28a.json,Dataset Overview | National Centers for Environmental Information (NCEI),,[],,Maritime Data
temperature-profile-data-from-xbt-casts-in-the-sou_8d2de16f-65b3-43f4-9e46-60f7f4daff5e.json,prd OAS: Download accessions,,[],,Maritime Data
ncdc-feed-of-global-telecommunication-system-gts-m_0221be9c-efb7-4f51-a4c1-0db869056227.json,Dataset Overview | National Centers for Environmental Information (NCEI),,[],,Maritime Data
partial-pressure-of-carbon-dioxide-salinity-temper_1bf76c4a-aa2b-4048-bee7-346678bf3a00.json,Home - Earthdata Forum,,[],,Maritime Data
partial-pressure-of-carbon-dioxide-salinity-temper_bd15cb85-678d-4cf7-896d-96f4543e6f25.json,Home - Earthdata Forum,,[],,Maritime Data
temperature-profile-data-from-xbt-casts-in-the-sou_b79e9e49-9b09-4886-b8cb-9d17c6bd358c.json,Home - Earthdata Forum,,[],,Maritime Data
conductivity-temperature-and-depth-ctd-data-from-k_85d36b2a-c0d2-4442-96ec-533071f8c9e2.json,prd OAS: Download accessions,,[],,Maritime Data
us-voluntary-observing-ship-vos-international-mari_ea6fb09b-9da5-4c2f-8127-b4b8a3a508f7.json,Dataset Overview | National Centers for Environmental Information (NCEI),,[],,Maritime Data
nf-0705-30-march-10-april-2007-virgin-islands_86bf0352-7b11-4ba0-81c8-cc67814dc390.json,"NF-0705 30 March - 10 April 2007, Virgin Islands | InPort","Biologic, Data collected from plankton collecting gear and LADCP. CNV and TSG data collected aboard the NOAA Ship NANCY FOSTER during cruise #NF-0705, March...",[],,Maritime Data
conductivity-temperature-and-depth-ctd-data-from-k_65f1975d-db59-4918-8dfd-d31a35b5e838.json,Home - Earthdata Forum,,[],,Maritime Data
noaa-nccos-assessment-prioritizing-areas-for-futur_942bb1d2-7606-4d8e-8c46-115dc19edba5.json,Home - Earthdata Forum,,[],,Maritime Data
partial-pressure-of-carbon-dioxide-salinity-temper_5595396b-a221-484c-ad57-25812d91d41a.json,"Partial pressure of carbon dioxide, salinity, temperature and other variables collected from surface underway observations using carbon dioxide (CO2) gas analyzer, shower head chamber equilibrator for autonomous CO2 measurement and other instruments from R/V Ryofu Maru III in the Pacific Ocean and East China Sea from 2016-01-07 to 2016-12-21 (NCEI Accession 0173839)","Partial pressure of carbon dioxide, salinity, temperature and other variables collected from surface underway observations using carbon dioxide (CO2) gas analyzer, shower head chamber equilibrator for autonomous CO2 measurement and other instruments from R/V Ryofu Maru III in the Pacific Ocean and East China Sea from 2016-01-07 to 2016-12-21 (NCEI Accession 0173839) (format: HTML)",[],,Maritime Data
